index,original word,new word
923,dalem,
924,krl,
925,senin,
926,berangkat,
927,antem,
928,cebong,
929,bkn,
930,listrik,
931,tagih,
932,best,
933,sosok,
934,bubar,
935,milih,
936,bersih,
937,mulia,
938,kereta,
939,dpr,
940,sidang,
941,story,
942,degdegan,
943,gada,
944,mental,
945,nungguin,
946,well,
947,subuh,
948,nyuruh,
949,with,
950,siksa,
951,mundur,
952,kucing,
953,alias,
954,aplikasi,
955,tangkap,
956,sia,
957,ramai,
958,drpd,
959,mahasiswa,
960,laut,
961,ak,
962,semester,
963,nak,
964,bpip,
965,gelap,
966,tubuh,
967,ali,
968,sistem,
969,lempar,
970,ka,
971,versi,
972,hadiah,
973,maling,
974,kualitas,
975,adil,
976,one,
977,pgn,
978,rapi,
979,thanks,
980,jt,
981,q,
982,daya,
983,awat,
984,desa,
985,nongkrong,
986,sebentar,
987,dangdut,
988,kosan,
989,rendah,
990,bunda,
991,koar,
992,receh,
993,ntar,
994,sblm,
995,bego,
996,tipe,
997,m,
998,sinar,
999,lambat,
1000,jijik,
1001,nenek,
1002,dadak,
1003,ortu,
1004,sapa,
1005,nasi,
1006,fix,
1007,dada,
1008,terkadang,
1009,un,
1010,or,
1011,bunyi,
1012,rt,
1013,larang,
1014,yaallah,
1015,ngerjain,
1016,taun,
1017,hitam,
1018,jodoh,
1019,koko,
1020,dosen,
1021,orangtua,
1022,bosan,
1023,egois,
1024,gantung,
1025,gapernah,
1026,kutuk,
1027,haru,
1028,good,
1029,la,
1030,ayat,
1031,life,
1032,why,
1033,ha,
1034,ribet,
1035,dingin,
1036,nasib,
1037,sepeda,
1038,periode,
1039,bisnis,
1040,stasiun,
1041,saking,
1042,kakek,
1043,adu,
1044,kaos,
1045,alamat,
1046,telinga,
1047,teh,
1048,jaring,
1049,anies,
1050,goreng,
1051,materi,
1052,keluh,
1053,kk,
1054,hitung,
1055,bales,
1056,bentar,
1057,bimbing,
1058,kampret,
1059,sopan,
1060,yuk,
1061,sen,
1062,komentar,
1063,rugi,
1064,rejeki,
1065,dipake,
1066,jkt,
1067,sby,
1068,radikal,
1069,hawa,
1070,netijen,
1071,recehkantwitter,
1072,halaman,
1073,tong,
1074,akibat,
1075,are,
1076,nyala,
1077,ekonomi,
1078,mahal,
1079,cucu,
1080,ato,
1081,kagak,
1082,anggota,
1083,lapang,
1084,gratis,
1085,nkri,
1086,oppa,
1087,arab,
1088,wujud,
1089,tonton,
1090,sejarah,
1091,teroris,
1092,nada,
1093,iman,
1094,bidang,
1095,dana,
1096,omong,
1097,sisa,
1098,pecah,
1099,mari,
1100,adik,
1101,angin,
1102,juara,
1103,kiri,
1104,pantes,
1105,akhirat,
1106,jarak,
1107,tante,
1108,bosen,
1109,nusantara,
1110,do,
1111,kisah,
1112,jelang,
1113,sombong,
1114,stress,
1115,asih,
1116,kasur,
1117,sudut,
1118,dsb,
1119,seksual,
1120,bae,
1121,ngeluh,
1122,tv,
1123,pks,
1124,tpi,
1125,internasional,
1126,perkara,
1127,kpk,
1128,ngantuk,
1129,kenceng,
1130,isu,
1131,solat,
1132,pki,
1133,bri,
1134,o,
1135,rokok,
1136,galak,
1137,mbah,
1138,menteri,
1139,potong,
1140,geli,
1141,politis,
1142,resi,
1143,ente,
1144,warna,
1145,maklum,
1146,maap,
1147,now,
1148,cabul,
1149,perang,
1150,jerman,
1151,your,
1152,api,
1153,mrk,
1154,kait,
1155,bahan,
1156,neraka,
1157,ngajak,
1158,malaikat,
1159,saing,
1160,penjara,
1161,sms,
1162,debat,
1163,kesan,
1164,amanah,
1165,rp,
1166,ampun,
1167,bocah,
1168,angkat,
1169,exo,
1170,alay,
1171,gpp,
1172,sial,
1173,bekas,
1174,god,
1175,aj,
1176,bocor,
1177,bully,
1178,goyang,
1179,jelasin,
1180,stay,
1181,aktif,
1182,nyalain,
1183,kanan,
1184,bunga,
1185,member,
1186,bet,
1187,positif,
1188,susu,
1189,move,
1190,repot,
1191,minder,
1192,bibir,
1193,baby,
1194,bayi,
1195,latih,
1196,pantai,
1197,aa,
1198,lembut,
1199,like,
1200,asing,
1201,google,
1202,nulis,
1203,serang,
1204,hina,
1205,sah,
1206,budaya,
1207,rebut,
1208,nambah,
1209,bismillah,
1210,upload,
1211,maksimal,
1212,nyinyirin,
1213,luas,
1214,hmmm,
1215,profesional,
1216,tumpang,
1217,jdi,
1218,smg,
1219,kartu,
1220,ribut,
1221,wkt,
1222,smpe,
1223,raih,
1224,harta,
1225,sinyal,
1226,masyumi,
1227,bintang,
1228,block,
1229,rawat,
1230,ih,
1231,nongol,
1232,ae,
1233,boneka,
1234,muter,
1235,senantiasa,
1236,sentuh,
1237,murid,
1238,sesat,
1239,pesona,
1240,online,
1241,keliling,
1242,yaaa,
1243,konten,
1244,tes,
1245,singgung,
1246,tulang,
1247,ber,
1248,twit,
1249,ramah,
1250,sila,
1251,target,
1252,smoga,
1253,sangka,
1254,ngaji,
1255,halo,
1256,logika,
1257,nyasar,
1258,warung,
1259,nu,
1260,kdg,
1261,ajaib,
1262,es,
1263,bulu,
1264,buta,
1265,semenjak,
1266,feeling,
1267,celaka,
1268,im,
1269,moment,
1270,cabang,
1271,kunjung,
1272,dp,
1273,bbrp,
1274,opini,
1275,pendek,
1276,sesak,
1277,nolak,
1278,betah,
1279,demokrasi,
1280,canda,
1281,spt,
1282,bin,
1283,persis,
1284,bayangin,
1285,simpan,
1286,sngt,
1287,nyambung,
1288,yo,
1289,angan,
1290,da,
1291,tawar,
1292,dompet,
1293,inisahurtiketcomharike,
1294,batu,
1295,that,
1296,hantu,
1297,mandiri,
1298,nyalahin,
1299,lol,
1300,dok,
1301,horor,
1302,informasi,
1303,gitasav,
1304,pria,
1305,bos,
1306,gerak,
1307,full,
1308,citra,
1309,raya,
1310,ratus,
1311,biaya,
1312,kapal,
1313,team,
1314,campur,
1315,jatengdaruratkorupsi,
1316,jatengsaruratkorupsi,
1317,tuduh,
1318,rs,
1319,pen,
1320,undang,
1321,puter,
1322,kendara,
1323,kulit,
1324,pdhal,
1325,protes,
1326,dimarahin,
1327,gendong,
1328,ramadan,
1329,pohon,
1330,lantai,
1331,ide,
1332,ngomongin,
1333,tweet,
1334,akrab,
1335,ye,
1336,aje,
1337,bacot,
1338,cuek,
1339,share,
1340,tampil,
1341,ngapa,
1342,dikatain,
1343,sedia,
1344,temennya,
1345,post,
1346,panggung,
1347,busuk,
1348,atm,
1349,konyol,
1350,prabowo,
1351,hm,
1352,yes,
1353,cerdas,
1354,walopun,
1355,celana,
1356,waras,
1357,them,
1358,pulsa,
1359,parpol,
1360,hibur,
1361,sobat,
1362,woy,
1363,dengki,
1364,halal,
1365,lega,
1366,model,
1367,bangsat,
1368,sambut,
1369,curiga,
1370,na,
1371,line,
1372,patah,
1373,bpk,
1374,kos,
1375,puluh,
1376,laptop,
1377,surabaya,
1378,tanggap,
1379,awas,
1380,gigit,
1381,indo,
1382,munafik,
1383,tega,
1384,biji,
1385,download,
1386,ky,
1387,bumi,
1388,nanyain,
1389,pusat,
1390,kritik,
1391,kembang,
1392,santai,
1393,cs,
1394,bolak,
1395,too,
1396,nabung,
1397,bln,
1398,genggam,
1399,gelar,
1400,sodara,
1401,donk,
1402,viral,
1403,era,
1404,game,
1405,jerawat,
1406,ktp,
1407,psikologi,
1408,cape,
1409,bawel,
1410,pilkada,
1411,kontra,
1412,minat,
1413,generasi,
1414,bnr,
1415,huhuhu,
1416,care,
1417,tetapjokowi,
1418,bngt,
1419,raga,
1420,see,
1421,kecoa,
1422,suasana,
1423,bandara,
1424,nyindir,
1425,kursi,
1426,thailand,
1427,saw,
1428,sedekah,
1429,abai,
1430,daddy,
1431,ngelakuin,
1432,rasain,
1433,fansite,
1434,beliin,
1435,kamera,
1436,interaksi,
1437,erat,
1438,limpah,
1439,nyakitin,
1440,woi,
1441,maghrib,
1442,baper,
1443,titik,
1444,situasi,
1445,novel,
1446,support,
1447,konsisten,
1448,gabung,
1449,wanna,
1450,soeharto,
1451,dulunya,
1452,pos,
1453,akal,
1454,payah,
1455,bsa,
1456,dendam,
1457,gaes,
1458,gendut,
1459,hobi,
1460,us,
1461,piala,
1462,sepakat,
1463,polos,
1464,hah,
1465,wisuda,
1466,gmna,
1467,wkwkwkwk,
1468,ngurus,
1469,dilakuin,
1470,pingin,
1471,timpa,
1472,jumat,
1473,selasa,
1474,ahok,
1475,socmed,
1476,bsk,
1477,dungu,
1478,nga,
1479,barat,
1480,alat,
1481,biarin,
1482,teliti,
1483,cerah,
1484,nafsu,
1485,ultah,
1486,kado,
1487,rilis,
1488,uas,
1489,hai,
1490,jamaah,
1491,nempel,
1492,artikel,
1493,transfer,
1494,msk,
1495,ngabarin,
1496,kue,
1497,qur,
1498,persija,
1499,langgan,
1500,orgnya,
1501,ekspektasi,
1502,rapat,
1503,cmn,
1504,about,
1505,hakim,
1506,travel,
1507,am,
1508,ngechat,
1509,mayoritas,
1510,ria,
1511,awet,
1512,iseng,
1513,as,
1514,minyak,
1515,malang,
1516,konser,
1517,he,
1518,tekan,
1519,rada,
1520,boro,
1521,ogah,
1522,jasa,
1523,sanggup,
1524,stop,
1525,maen,
1526,tanding,
1527,tata,
1528,dagang,
1529,musti,
1530,tawa,
1531,degan,
1532,artis,
1533,organisasi,
1534,nalar,
1535,negatif,
1536,prestasi,
1537,revisi,
1538,tantang,
1539,kaca,
1540,nafas,
1541,semesta,
1542,simpul,
1543,puncak,
1544,hti,
1545,notif,
1546,inggris,
1547,singkat,
1548,bangunin,
1549,motivasi,
1550,rantau,
1551,puas,
1552,yaelah,
1553,bioskop,
1554,liatin,
1555,catat,
1556,hutan,
1557,ntr,
1558,sosmed,
1559,pola,
1560,bangtan,
1561,kang,
1562,kabupaten,
1563,silah,
1564,doain,
1565,cakep,
1566,maya,
1567,tar,
1568,sastra,
1569,tampan,
1570,batin,
1571,plus,
1572,bodo,
1573,real,
1574,ad,
